start	end	text
0	3040	Då är det klassiker om ja eller nej.
3200	7760	Tvekan är så här. Hon är lika borta som en Rickard Palm.
7920	11720	Kampa är det världens rikaste man.
11880	15760	–Han kommer väl på andra plats? –Han är en av de 20.
15920	18640	–Vem pratar vi om? –Ingvar Kampa.
18800	24080	–Han som äger IKEA. –Du vet ju vem det är.
24240	26600	Är du rädd?
26600	32120	–Jag är inte rädd. –Du är inte rädd för nåt?
32280	34560	Nej...
34720	39160	–Henrik åkte ut. –Det är bara för att du inte frågade honom.
39320	44280	–Ska jag fråga dig, Johan? –Fråga nån annan.
44440	48200	Jag sitter här och väntar. Lura som en jädra i vassen.
48360	51600	–Om jag frågar dig, Johan? –Vad vill du att jag ska säga?
51600	56560	–Jag har ingen fråga. –Nej!
58440	64520	–André Farr och Josefine Bohren. –Du har inte frågat honom nån.
64680	68560	–Du var ju borta ändå. –Rättsröta.
68720	73960	Våren är här, André. Känner du till det?
74120	77280	–Men den är ju inte här. –Den är nästan här.
77280	81480	–Det är bara snacketiden. –För mig är den här.
81640	85880	–Det är snö. –För mig är det inte snö.
86040	90560	–Nu är det inte snö. –Men snön har precis sett ut.
90560	110000	Josefine Åkert är med i dag.
